Attendance,Study_Hours,Assignment_Score,Previous_Test_Score,Sleep_Hours,Participation_Level,Internet_Access,Extra_Classes,Parent_Education,Screen_Time,Projects_Completed,Stress_Level,Performance
71,2.5,61,70,6.0,Low,Yes,Yes,School,5.4,5,Medium,Average
48,2.3,42,39,5.7,Low,No,No,School,8.5,0,High,Poor
87,8.6,91,91,8.8,High,Yes,Yes,Postgraduate,2.7,10,Low,Excellent
57,2.3,37,41,4.8,Low,Yes,No,School,7.7,2,High,Poor
46,1.9,53,49,5.1,Low,No,No,School,7.1,1,High,Poor
79,5.1,85,82,7.5,High,Yes,Yes,Postgraduate,5.4,7,Medium,Good
89,8.0,92,97,7.4,High,Yes,Yes,Postgraduate,1.1,10,Low,Excellent
74,6.0,84,82,6.5,Medium,Yes,Yes,Postgraduate,4.8,4,Medium,Good
42,3.0,50,48,5.0,Low,No,No,Graduate,10.0,1,High,Poor
95,7.5,93,89,8.5,High,Yes,Yes,Postgraduate,3.1,7,Low,Excellent
69,4.8,52,61,5.2,Medium,Yes,No,School,4.9,3,High,Average
71,2.6,65,60,7.0,Medium,Yes,No,Graduate,4.2,4,Medium,Average
100,6.3,100,92,7.3,High,Yes,Yes,Postgraduate,3.9,10,Low,Excellent
41,2.0,48,49,4.5,Low,Yes,No,Graduate,9.2,1,High,Poor
100,9.8,98,91,8.2,High,Yes,Yes,Postgraduate,2.7,10,Low,Excellent
85,8.7,87,97,7.4,High,Yes,Yes,Postgraduate,2.4,7,Low,Excellent
67,4.5,53,59,6.2,Medium,Yes,Yes,School,5.5,4,Medium,Average
42,1.0,46,30,4.4,Low,Yes,No,School,6.6,0,High,Poor
45,1.6,53,38,5.9,Low,Yes,No,School,9.7,1,High,Poor
75,4.5,77,83,7.7,Medium,Yes,Yes,Graduate,2.1,5,Medium,Good
91,6.5,86,92,8.4,High,Yes,Yes,Postgraduate,1.0,9,Low,Excellent
53,2.2,50,52,5.6,Low,Yes,No,School,9.8,0,High,Poor
55,3.7,68,70,6.4,Medium,Yes,No,Graduate,6.9,4,Medium,Average
94,8.4,90,94,8.3,High,Yes,Yes,Postgraduate,3.7,8,Low,Excellent
94,8.3,98,100,7.4,High,Yes,Yes,Postgraduate,3.4,8,Low,Excellent
79,7.0,81,74,7.8,Medium,Yes,Yes,Postgraduate,4.1,8,Low,Good
75,5.5,84,79,7.2,Medium,Yes,Yes,Postgraduate,5.8,6,Medium,Good
54,1.9,53,39,4.2,Low,Yes,No,Graduate,8.7,0,High,Poor
43,1.3,38,38,5.6,Low,Yes,No,School,8.5,0,High,Poor
64,4.4,70,54,6.8,Low,Yes,No,School,7.3,4,Medium,Average
52,2.8,39,32,6.0,Low,No,No,Graduate,7.1,1,High,Poor
63,4.4,59,64,6.3,Low,Yes,Yes,School,4.3,4,High,Average
60,1.8,55,37,4.5,Low,No,No,School,9.9,2,High,Poor
90,6.4,98,95,7.7,High,Yes,Yes,Postgraduate,3.7,8,Low,Excellent
43,2.7,38,35,5.1,Low,No,No,Graduate,8.2,1,High,Poor
73,4.8,80,75,7.0,Medium,Yes,Yes,Postgraduate,3.5,4,Medium,Good
49,2.4,46,38,5.1,Low,Yes,No,School,8.1,0,High,Poor
94,7.1,89,88,8.4,High,Yes,Yes,Postgraduate,2.2,8,Low,Excellent
99,8.2,94,97,8.5,High,Yes,Yes,Postgraduate,3.0,9,Low,Excellent
57,2.3,52,45,5.1,Low,Yes,No,School,7.7,0,High,Poor
98,9.4,94,99,7.7,High,Yes,Yes,Postgraduate,1.1,10,Low,Excellent
86,7.9,89,100,7.1,High,Yes,Yes,Postgraduate,2.1,10,Low,Excellent
95,9.3,91,100,8.3,High,Yes,Yes,Postgraduate,3.9,9,Low,Excellent
42,2.5,55,35,5.5,Low,Yes,No,School,9.3,0,High,Poor
86,8.0,98,85,7.6,High,Yes,Yes,Postgraduate,1.9,7,Low,Excellent
95,7.3,86,93,7.1,High,Yes,Yes,Postgraduate,1.5,10,Low,Excellent
89,5.8,82,73,6.9,Medium,Yes,Yes,Postgraduate,5.5,8,Low,Good
73,6.9,72,75,7.2,Medium,Yes,Yes,Graduate,4.3,5,Medium,Good
65,3.1,58,52,6.4,Medium,Yes,No,Graduate,7.1,2,High,Average
56,2.0,39,38,5.2,Low,Yes,No,Graduate,9.2,2,High,Poor
95,9.6,92,89,7.0,High,Yes,Yes,Postgraduate,2.6,9,Low,Excellent
78,6.9,74,82,7.0,High,Yes,Yes,Postgraduate,5.8,5,Medium,Good
64,5.0,60,65,6.2,Low,Yes,Yes,Graduate,5.2,5,Medium,Average
71,3.8,54,51,5.5,Medium,Yes,Yes,Graduate,6.0,4,Medium,Average
76,4.3,85,81,6.2,Medium,Yes,Yes,Graduate,3.4,4,Low,Good
64,3.5,51,61,6.5,Low,Yes,No,Graduate,6.0,2,High,Average
95,7.9,100,92,8.0,High,Yes,Yes,Postgraduate,3.2,10,Low,Excellent
97,9.7,92,99,8.5,High,Yes,Yes,Postgraduate,3.7,8,Low,Excellent
93,6.0,96,99,8.8,High,Yes,Yes,Postgraduate,2.1,8,Low,Excellent
52,2.6,41,53,4.7,Low,No,No,School,8.6,0,High,Poor
64,3.1,64,55,6.1,Low,Yes,No,Graduate,4.1,4,High,Average
66,4.9,69,60,5.8,Low,Yes,No,School,5.5,3,High,Average
62,3.1,58,54,6.4,Medium,Yes,No,School,4.8,2,Medium,Average
85,4.6,75,81,7.6,Medium,Yes,Yes,Postgraduate,2.9,7,Medium,Good
89,9.9,86,89,8.6,High,Yes,Yes,Postgraduate,3.8,9,Low,Excellent
45,1.3,55,30,4.7,Low,Yes,No,School,9.2,0,High,Poor
58,3.9,59,67,6.8,Low,Yes,No,School,6.1,2,High,Average
56,4.8,63,64,6.8,Low,Yes,Yes,School,5.5,5,High,Average
41,2.8,53,38,4.7,Low,Yes,No,School,7.5,2,High,Poor
57,4.4,51,63,6.4,Low,Yes,Yes,School,7.4,3,High,Average
74,2.5,69,68,5.8,Medium,Yes,No,School,4.5,5,High,Average
47,2.6,42,46,5.9,Low,No,No,School,10.0,0,High,Poor
88,5.9,81,83,6.5,Medium,Yes,Yes,Postgraduate,5.0,7,Low,Good
93,6.6,99,88,8.0,High,Yes,Yes,Postgraduate,3.4,7,Low,Excellent
60,1.1,49,42,4.7,Low,No,No,Graduate,7.6,2,High,Poor
85,5.2,71,85,7.4,Medium,Yes,Yes,Graduate,3.9,8,Medium,Good
79,5.6,77,71,7.0,High,Yes,Yes,Postgraduate,4.9,5,Medium,Good
68,3.8,68,59,6.7,Medium,Yes,No,Graduate,4.5,5,Medium,Average
58,3.5,65,60,6.4,Medium,Yes,No,School,6.9,3,Medium,Average
96,6.6,97,88,7.1,High,Yes,Yes,Postgraduate,3.7,9,Low,Excellent
59,4.9,68,58,6.5,Medium,Yes,Yes,Graduate,4.8,4,Medium,Average
49,1.9,43,39,4.6,Low,No,No,Graduate,9.1,0,High,Poor
75,4.8,79,78,6.2,Medium,Yes,Yes,Postgraduate,4.1,6,Medium,Good
57,2.6,41,44,5.0,Low,No,No,School,8.3,2,High,Poor
48,2.8,39,53,6.0,Low,No,No,Graduate,8.8,0,High,Poor
47,2.2,40,30,4.1,Low,No,No,Graduate,9.9,1,High,Poor
100,6.5,100,85,7.5,High,Yes,Yes,Postgraduate,1.6,10,Low,Excellent
64,3.3,51,69,6.7,Low,Yes,No,School,6.9,4,High,Average
42,2.0,41,48,4.4,Low,No,No,School,7.3,0,High,Poor
89,4.2,80,70,7.0,High,Yes,Yes,Postgraduate,5.2,7,Medium,Good
75,3.1,61,55,6.1,Low,Yes,No,Graduate,4.2,5,Medium,Average
88,5.2,71,76,7.3,Medium,Yes,Yes,Postgraduate,5.3,8,Low,Good
97,6.6,86,90,7.6,High,Yes,Yes,Postgraduate,1.3,8,Low,Excellent
85,6.3,76,76,7.7,Medium,Yes,Yes,Graduate,4.2,6,Medium,Good
88,6.1,76,78,7.7,Medium,Yes,Yes,Postgraduate,3.9,5,Low,Good
90,5.9,76,78,6.8,Medium,Yes,Yes,Graduate,2.1,7,Low,Good
89,5.8,81,71,7.8,Medium,Yes,Yes,Postgraduate,3.0,7,Medium,Good
49,2.1,43,44,5.3,Low,No,No,School,6.4,2,High,Poor
90,6.4,99,99,8.8,High,Yes,Yes,Postgraduate,3.2,9,Low,Excellent
71,6.1,85,71,7.9,High,Yes,Yes,Postgraduate,2.4,7,Low,Good
67,2.8,61,52,5.5,Low,Yes,Yes,Graduate,5.8,2,Medium,Average
86,7.7,100,98,8.7,High,Yes,Yes,Postgraduate,2.6,9,Low,Excellent
98,7.5,94,91,7.8,High,Yes,Yes,Postgraduate,2.6,9,Low,Excellent
80,5.0,77,71,7.2,High,Yes,Yes,Postgraduate,3.5,4,Medium,Good
75,3.1,64,70,5.3,Low,Yes,No,Graduate,7.5,2,Medium,Average
60,3.0,35,52,5.2,Low,No,No,School,8.5,2,High,Poor
93,9.1,87,86,7.3,High,Yes,Yes,Postgraduate,3.4,7,Low,Excellent
50,1.8,35,32,4.8,Low,Yes,No,School,7.7,1,High,Poor
49,1.7,50,35,4.7,Low,Yes,No,Graduate,6.0,1,High,Poor
73,6.7,70,79,6.2,Medium,Yes,Yes,Postgraduate,4.0,6,Medium,Good
57,4.2,62,62,6.9,Medium,Yes,Yes,Graduate,5.4,5,Medium,Average
90,6.1,70,81,7.0,Medium,Yes,Yes,Graduate,3.3,4,Low,Good
59,3.2,52,67,5.3,Low,Yes,Yes,Graduate,7.4,4,High,Average
74,4.1,66,70,5.8,Low,Yes,Yes,School,5.5,4,Medium,Average
85,6.1,73,70,6.8,Medium,Yes,Yes,Graduate,3.8,8,Medium,Good
64,2.2,61,57,5.7,Low,Yes,No,School,7.6,5,Medium,Average
73,6.0,81,78,7.8,Medium,Yes,Yes,Graduate,3.2,5,Low,Good
46,2.9,42,34,5.3,Low,No,No,Graduate,6.9,0,High,Poor
81,5.4,70,72,7.7,High,Yes,Yes,Postgraduate,5.1,6,Low,Good
53,1.4,35,45,4.7,Low,No,No,Graduate,7.6,1,High,Poor
75,4.4,73,78,7.3,High,Yes,Yes,Postgraduate,5.6,6,Medium,Good
100,7.8,95,86,7.2,High,Yes,Yes,Postgraduate,2.6,8,Low,Excellent
87,9.1,100,88,8.2,High,Yes,Yes,Postgraduate,2.6,7,Low,Excellent
48,2.0,50,43,5.5,Low,Yes,No,Graduate,6.6,2,High,Poor
99,8.2,87,86,7.4,High,Yes,Yes,Postgraduate,3.5,10,Low,Excellent
98,8.7,94,96,7.3,High,Yes,Yes,Postgraduate,4.0,7,Low,Excellent
41,2.0,37,42,4.7,Low,No,No,Graduate,7.5,2,High,Poor
40,1.7,37,54,5.8,Low,No,No,Graduate,9.9,0,High,Poor
50,2.3,36,36,4.9,Low,No,No,Graduate,7.5,2,High,Poor
71,4.2,55,60,6.9,Medium,Yes,No,School,4.6,5,Medium,Average
84,6.6,70,80,7.0,High,Yes,Yes,Graduate,3.4,7,Medium,Good
55,1.5,46,42,5.8,Low,Yes,No,Graduate,6.7,2,High,Poor
60,1.7,53,35,5.6,Low,No,No,Graduate,9.2,1,High,Poor
53,2.4,45,44,5.8,Low,Yes,No,Graduate,8.6,1,High,Poor
59,3.9,70,62,6.2,Low,Yes,Yes,School,7.6,5,Medium,Average
59,2.2,50,44,5.9,Low,No,No,School,6.2,2,High,Poor
64,3.0,67,66,6.3,Medium,Yes,No,Graduate,7.3,5,High,Average
44,2.9,40,54,5.1,Low,Yes,No,Graduate,9.7,1,High,Poor
67,3.2,70,65,5.3,Medium,Yes,No,School,4.0,2,High,Average
65,4.9,59,58,6.2,Low,Yes,No,Graduate,6.8,2,Medium,Average
81,7.0,76,75,6.6,Medium,Yes,Yes,Postgraduate,4.6,7,Medium,Good
95,6.8,98,94,8.0,High,Yes,Yes,Postgraduate,3.3,7,Low,Excellent
48,2.2,36,37,4.9,Low,Yes,No,School,6.9,0,High,Poor
65,4.5,62,66,6.9,Medium,Yes,Yes,School,4.1,4,Medium,Average
46,1.5,52,43,4.6,Low,No,No,School,9.1,0,High,Poor
46,1.9,48,52,5.7,Low,No,No,School,9.9,2,High,Poor
73,7.0,82,71,6.4,Medium,Yes,Yes,Postgraduate,4.7,4,Medium,Good
97,6.0,92,100,8.4,High,Yes,Yes,Postgraduate,1.4,9,Low,Excellent
83,4.1,71,85,6.7,Medium,Yes,Yes,Graduate,3.5,4,Medium,Good
48,1.0,53,50,5.7,Low,No,No,Graduate,7.0,2,High,Poor
49,2.7,54,45,5.2,Low,No,No,Graduate,8.8,1,High,Poor
88,4.4,71,84,6.0,Medium,Yes,Yes,Postgraduate,2.2,5,Low,Good
83,6.7,74,84,6.7,High,Yes,Yes,Postgraduate,5.1,8,Low,Good
64,3.5,51,60,6.7,Low,Yes,No,School,4.8,2,Medium,Average
46,1.9,55,32,4.8,Low,Yes,No,School,8.7,2,High,Poor
61,4.9,54,64,5.3,Medium,Yes,Yes,Graduate,6.3,2,Medium,Average
44,1.4,41,44,5.7,Low,No,No,Graduate,6.0,1,High,Poor
96,7.1,86,98,7.1,High,Yes,Yes,Postgraduate,1.7,8,Low,Excellent
53,1.1,46,44,4.9,Low,Yes,No,School,9.3,0,High,Poor
99,7.1,89,96,8.7,High,Yes,Yes,Postgraduate,1.9,9,Low,Excellent
70,3.5,57,63,5.6,Low,Yes,No,School,6.8,4,Medium,Average
72,2.4,67,59,5.4,Medium,Yes,Yes,Graduate,7.9,4,High,Average
66,4.6,60,54,6.1,Low,Yes,Yes,School,6.4,4,High,Average
80,6.1,83,72,6.2,Medium,Yes,Yes,Postgraduate,4.8,8,Low,Good
52,2.5,45,52,5.5,Low,Yes,No,School,7.5,1,High,Poor
88,7.7,90,100,7.7,High,Yes,Yes,Postgraduate,2.5,10,Low,Excellent
69,3.3,54,58,5.1,Low,Yes,Yes,School,4.1,5,Medium,Average
91,9.8,98,87,8.8,High,Yes,Yes,Postgraduate,2.1,9,Low,Excellent
64,3.4,66,67,5.7,Medium,Yes,No,Graduate,5.6,4,Medium,Average
64,3.3,50,69,5.7,Medium,Yes,Yes,School,5.6,3,Medium,Average
72,4.7,81,80,6.4,High,Yes,Yes,Graduate,3.4,6,Medium,Good
86,7.5,89,89,7.2,High,Yes,Yes,Postgraduate,3.2,8,Low,Excellent
96,6.7,98,95,7.2,High,Yes,Yes,Postgraduate,2.3,7,Low,Excellent
86,5.0,76,80,6.7,High,Yes,Yes,Postgraduate,3.6,8,Medium,Good
60,2.2,37,52,4.6,Low,Yes,No,Graduate,7.8,2,High,Poor
92,8.7,94,88,7.4,High,Yes,Yes,Postgraduate,3.1,7,Low,Excellent
77,4.4,74,70,7.5,Medium,Yes,Yes,Graduate,5.3,7,Low,Good
47,1.8,43,42,4.0,Low,Yes,No,School,7.1,2,High,Poor
41,1.8,41,52,5.4,Low,No,No,School,8.9,2,High,Poor
74,2.4,51,70,5.4,Low,Yes,No,Graduate,5.5,5,High,Average
84,4.8,79,78,7.7,Medium,Yes,Yes,Postgraduate,3.3,5,Low,Good
97,9.7,88,99,7.2,High,Yes,Yes,Postgraduate,2.7,10,Low,Excellent
94,7.2,100,86,8.2,High,Yes,Yes,Postgraduate,1.1,9,Low,Excellent
73,3.5,61,58,5.3,Medium,Yes,Yes,Graduate,7.4,2,High,Average
60,1.1,52,34,4.1,Low,No,No,School,9.8,1,High,Poor
86,7.6,99,95,8.5,High,Yes,Yes,Postgraduate,3.2,9,Low,Excellent
90,5.3,83,74,6.6,High,Yes,Yes,Graduate,4.8,4,Medium,Good
97,9.7,90,91,8.2,High,Yes,Yes,Postgraduate,3.2,8,Low,Excellent
56,2.2,52,40,5.3,Low,Yes,No,Graduate,9.1,0,High,Poor
100,7.2,100,96,8.1,High,Yes,Yes,Postgraduate,2.2,9,Low,Excellent
58,3.8,64,51,5.3,Low,Yes,No,Graduate,6.8,4,High,Average
59,3.2,58,64,6.2,Low,Yes,No,Graduate,7.8,4,Medium,Average
60,4.4,58,66,6.8,Medium,Yes,No,Graduate,6.1,5,High,Average
66,2.0,66,57,6.1,Medium,Yes,Yes,School,6.1,3,High,Average
43,2.6,51,30,5.7,Low,Yes,No,School,6.9,1,High,Poor
67,2.2,55,54,6.9,Medium,Yes,Yes,School,4.3,5,High,Average
86,4.5,76,75,6.6,High,Yes,Yes,Graduate,3.9,6,Low,Good
79,6.8,82,74,7.0,High,Yes,Yes,Postgraduate,4.5,7,Medium,Good
94,9.9,100,85,8.6,High,Yes,Yes,Postgraduate,2.6,9,Low,Excellent
40,1.3,46,55,4.9,Low,No,No,School,7.1,1,High,Poor
69,3.1,68,62,5.9,Medium,Yes,No,Graduate,7.2,5,High,Average
64,4.4,58,52,5.2,Low,Yes,Yes,Graduate,5.6,4,Medium,Average
87,8.7,100,100,8.9,High,Yes,Yes,Postgraduate,3.3,7,Low,Excellent
85,6.4,96,99,7.1,High,Yes,Yes,Postgraduate,1.6,9,Low,Excellent
55,4.8,60,53,5.8,Low,Yes,No,School,5.3,2,Medium,Average
41,1.7,40,41,4.5,Low,No,No,Graduate,7.8,1,High,Poor
99,9.8,90,93,8.1,High,Yes,Yes,Postgraduate,3.9,10,Low,Excellent
44,1.6,46,40,4.8,Low,Yes,No,Graduate,7.0,2,High,Poor
76,6.6,84,71,6.7,High,Yes,Yes,Graduate,4.3,7,Low,Good
75,4.8,71,71,7.7,Medium,Yes,Yes,Postgraduate,4.3,4,Low,Good
80,5.3,70,75,7.7,Medium,Yes,Yes,Graduate,2.5,6,Medium,Good
90,6.6,85,82,6.5,High,Yes,Yes,Graduate,2.6,8,Low,Good
74,4.8,54,53,6.3,Medium,Yes,Yes,School,5.1,4,Medium,Average
66,2.5,61,55,5.8,Medium,Yes,No,School,7.1,2,High,Average
94,10.0,95,99,8.7,High,Yes,Yes,Postgraduate,2.4,9,Low,Excellent
94,9.8,89,93,8.0,High,Yes,Yes,Postgraduate,1.1,7,Low,Excellent
96,7.4,86,93,8.5,High,Yes,Yes,Postgraduate,2.4,7,Low,Excellent
69,5.0,68,53,5.4,Low,Yes,No,Graduate,7.1,5,High,Average
54,2.2,42,38,5.6,Low,Yes,No,School,7.2,0,High,Poor
53,2.5,42,42,5.7,Low,No,No,Graduate,6.6,2,High,Poor
81,5.3,74,82,7.1,Medium,Yes,Yes,Graduate,2.9,5,Medium,Good
54,2.0,53,33,5.2,Low,No,No,Graduate,9.4,2,High,Poor
81,5.8,72,84,7.8,Medium,Yes,Yes,Postgraduate,2.7,8,Medium,Good
86,7.7,87,99,8.7,High,Yes,Yes,Postgraduate,1.2,8,Low,Excellent
86,8.4,97,88,7.7,High,Yes,Yes,Postgraduate,1.7,8,Low,Excellent
48,2.5,51,53,5.5,Low,No,No,Graduate,9.0,2,High,Poor
96,7.2,87,89,7.6,High,Yes,Yes,Postgraduate,3.9,10,Low,Excellent
59,2.8,44,31,4.4,Low,Yes,No,Graduate,9.3,2,High,Poor
86,6.2,100,85,7.7,High,Yes,Yes,Postgraduate,3.2,7,Low,Excellent
67,3.2,51,62,6.8,Low,Yes,No,Graduate,5.3,5,High,Average
57,3.3,61,57,5.3,Medium,Yes,No,Graduate,4.9,2,High,Average
65,2.6,56,56,6.9,Medium,Yes,Yes,School,7.5,2,Medium,Average
90,6.4,71,71,7.1,Medium,Yes,Yes,Graduate,4.9,8,Low,Good
99,7.1,100,98,8.8,High,Yes,Yes,Postgraduate,2.6,7,Low,Excellent
55,2.6,58,65,6.8,Low,Yes,No,School,5.0,3,High,Average
89,5.0,83,76,6.3,Medium,Yes,Yes,Postgraduate,3.0,4,Medium,Good
48,1.6,54,54,5.6,Low,No,No,School,8.2,1,High,Poor
88,5.5,82,77,6.2,Medium,Yes,Yes,Graduate,3.6,7,Medium,Good
88,5.8,82,71,6.6,High,Yes,Yes,Postgraduate,2.0,4,Low,Good
84,6.8,74,77,7.5,High,Yes,Yes,Graduate,5.5,5,Medium,Good
75,6.7,74,83,7.2,Medium,Yes,Yes,Postgraduate,5.8,4,Medium,Good
56,2.9,53,37,5.0,Low,No,No,Graduate,8.4,2,High,Poor
83,5.6,78,85,8.0,High,Yes,Yes,Postgraduate,5.8,7,Medium,Good
67,4.3,56,62,6.9,Medium,Yes,No,School,6.7,5,Medium,Average
90,4.1,75,78,7.4,High,Yes,Yes,Graduate,3.9,7,Medium,Good
92,6.1,86,93,7.4,High,Yes,Yes,Postgraduate,2.3,9,Low,Excellent
97,9.2,95,91,7.8,High,Yes,Yes,Postgraduate,2.3,9,Low,Excellent
73,6.6,72,70,7.0,High,Yes,Yes,Postgraduate,4.0,6,Low,Good
93,6.6,97,92,8.7,High,Yes,Yes,Postgraduate,3.5,10,Low,Excellent
74,5.6,83,72,7.6,High,Yes,Yes,Postgraduate,4.0,6,Low,Good
45,2.0,53,32,4.1,Low,No,No,Graduate,6.6,0,High,Poor
58,3.9,50,70,5.8,Medium,Yes,No,Graduate,4.1,5,Medium,Average
55,2.7,43,33,4.6,Low,No,No,Graduate,6.1,0,High,Poor
70,5.2,81,73,7.4,High,Yes,Yes,Postgraduate,3.8,6,Medium,Good
89,6.8,97,97,8.6,High,Yes,Yes,Postgraduate,1.4,7,Low,Excellent
53,2.3,49,46,4.4,Low,Yes,No,School,7.9,0,High,Poor
50,1.5,39,53,5.0,Low,Yes,No,School,8.0,0,High,Poor
97,8.2,86,92,8.5,High,Yes,Yes,Postgraduate,2.9,10,Low,Excellent
72,4.7,58,60,6.1,Low,Yes,Yes,School,5.7,5,Medium,Average
85,6.3,98,100,8.0,High,Yes,Yes,Postgraduate,2.1,9,Low,Excellent
70,5.4,71,71,7.8,Medium,Yes,Yes,Graduate,5.7,8,Low,Good
89,9.3,89,93,7.9,High,Yes,Yes,Postgraduate,2.8,8,Low,Excellent
51,1.5,46,45,5.8,Low,No,No,Graduate,10.0,0,High,Poor
85,8.4,100,99,8.5,High,Yes,Yes,Postgraduate,4.0,10,Low,Excellent
88,6.5,95,88,8.7,High,Yes,Yes,Postgraduate,2.8,8,Low,Excellent
64,3.1,67,50,5.9,Low,Yes,Yes,Graduate,7.5,2,High,Average
57,4.6,62,52,6.4,Low,Yes,Yes,Graduate,6.6,3,Medium,Average
75,3.9,68,68,6.1,Medium,Yes,Yes,Graduate,5.5,5,Medium,Average
59,3.6,66,60,6.4,Medium,Yes,No,Graduate,5.3,3,High,Average
67,3.9,50,70,5.1,Medium,Yes,No,School,7.6,2,High,Average
80,4.6,77,81,6.6,Medium,Yes,Yes,Graduate,3.9,8,Medium,Good
70,6.0,76,83,7.0,Medium,Yes,Yes,Graduate,6.0,5,Low,Good
73,6.2,80,81,7.8,Medium,Yes,Yes,Graduate,4.7,5,Low,Good
88,5.9,76,78,6.9,Medium,Yes,Yes,Postgraduate,5.9,4,Low,Good
82,5.5,77,83,7.0,High,Yes,Yes,Postgraduate,3.8,4,Low,Good
49,2.8,41,54,6.0,Low,No,No,Graduate,9.9,1,High,Poor
91,9.1,96,86,7.7,High,Yes,Yes,Postgraduate,1.4,7,Low,Excellent
88,5.0,84,78,6.5,High,Yes,Yes,Graduate,5.4,4,Low,Good
69,4.7,58,59,5.6,Low,Yes,No,Graduate,4.0,2,High,Average
60,2.2,61,51,6.2,Low,Yes,Yes,School,7.3,4,Medium,Average
80,4.5,82,81,7.4,High,Yes,Yes,Graduate,5.2,6,Low,Good
87,9.7,97,96,7.3,High,Yes,Yes,Postgraduate,2.3,8,Low,Excellent
85,7.8,98,86,8.8,High,Yes,Yes,Postgraduate,3.4,7,Low,Excellent
70,5.4,73,79,7.4,High,Yes,Yes,Postgraduate,6.0,4,Medium,Good
77,5.7,82,85,7.8,Medium,Yes,Yes,Graduate,4.7,6,Medium,Good
61,4.8,59,68,6.5,Medium,Yes,Yes,Graduate,4.4,4,Medium,Average
65,2.3,65,56,5.6,Low,Yes,Yes,Graduate,5.2,3,Medium,Average
94,10.0,86,98,8.4,High,Yes,Yes,Postgraduate,1.5,8,Low,Excellent
84,6.3,70,85,7.5,High,Yes,Yes,Postgraduate,5.6,7,Low,Good
55,2.1,57,62,5.2,Low,Yes,Yes,School,4.5,4,Medium,Average
63,4.0,64,63,5.9,Low,Yes,Yes,Graduate,6.1,2,High,Average
88,9.4,96,92,7.2,High,Yes,Yes,Postgraduate,3.4,8,Low,Excellent
97,6.7,93,96,7.2,High,Yes,Yes,Postgraduate,1.7,7,Low,Excellent
77,6.8,75,77,7.2,High,Yes,Yes,Postgraduate,3.5,8,Medium,Good
84,4.7,73,78,6.8,High,Yes,Yes,Graduate,5.8,6,Medium,Good
54,1.4,49,36,5.7,Low,No,No,Graduate,8.8,1,High,Poor
84,4.6,83,85,7.1,High,Yes,Yes,Postgraduate,5.5,7,Medium,Good
48,2.3,40,40,5.3,Low,No,No,School,8.1,1,High,Poor
96,9.6,93,95,7.4,High,Yes,Yes,Postgraduate,3.4,7,Low,Excellent
59,2.6,37,35,4.3,Low,No,No,Graduate,8.2,1,High,Poor
81,4.5,71,79,6.9,Medium,Yes,Yes,Graduate,4.5,7,Low,Good
51,2.9,39,53,4.4,Low,Yes,No,Graduate,8.8,0,High,Poor
67,2.9,69,53,5.3,Low,Yes,No,School,7.5,3,High,Average
94,7.7,100,100,8.6,High,Yes,Yes,Postgraduate,3.3,8,Low,Excellent
92,8.7,86,98,8.4,High,Yes,Yes,Postgraduate,2.3,10,Low,Excellent
41,2.1,53,47,5.8,Low,Yes,No,School,8.4,2,High,Poor
73,6.0,85,74,7.2,Medium,Yes,Yes,Graduate,5.0,5,Medium,Good
92,9.6,92,89,8.9,High,Yes,Yes,Postgraduate,3.2,10,Low,Excellent
58,2.0,45,32,5.2,Low,Yes,No,Graduate,8.8,0,High,Poor
56,2.4,65,50,6.2,Low,Yes,No,Graduate,5.1,4,Medium,Average
99,6.1,87,98,8.6,High,Yes,Yes,Postgraduate,1.9,8,Low,Excellent
86,8.4,98,100,7.5,High,Yes,Yes,Postgraduate,1.8,9,Low,Excellent
92,9.7,97,90,7.6,High,Yes,Yes,Postgraduate,2.2,7,Low,Excellent
40,2.1,51,41,6.0,Low,Yes,No,Graduate,9.4,1,High,Poor
62,4.5,69,64,5.2,Medium,Yes,Yes,Graduate,7.6,2,Medium,Average
90,5.0,82,79,7.9,High,Yes,Yes,Graduate,5.2,5,Low,Good
79,5.4,77,73,6.5,High,Yes,Yes,Postgraduate,3.8,7,Low,Good
91,9.9,99,100,8.3,High,Yes,Yes,Postgraduate,1.1,10,Low,Excellent
76,6.1,81,70,6.5,Medium,Yes,Yes,Graduate,5.0,5,Medium,Good
79,6.2,76,81,7.8,Medium,Yes,Yes,Postgraduate,3.5,8,Medium,Good
90,4.1,74,75,7.5,Medium,Yes,Yes,Graduate,6.0,6,Low,Good
100,9.6,91,87,7.1,High,Yes,Yes,Postgraduate,1.6,7,Low,Excellent
52,2.7,38,38,4.8,Low,Yes,No,Graduate,6.3,0,High,Poor
88,6.8,85,78,6.1,Medium,Yes,Yes,Graduate,2.5,7,Medium,Good
88,8.3,91,87,7.7,High,Yes,Yes,Postgraduate,1.2,10,Low,Excellent
68,4.4,67,66,5.5,Medium,Yes,No,School,5.8,3,High,Average
61,4.0,68,62,6.3,Medium,Yes,Yes,School,4.5,3,High,Average
41,1.6,35,38,4.3,Low,No,No,Graduate,7.9,0,High,Poor
71,4.3,61,59,6.6,Medium,Yes,Yes,School,4.8,2,Medium,Average
73,5.0,70,82,7.9,Medium,Yes,Yes,Postgraduate,4.1,8,Low,Good
41,2.6,55,43,4.7,Low,No,No,School,8.1,0,High,Poor
89,6.4,78,81,6.0,Medium,Yes,Yes,Graduate,4.9,8,Low,Good
88,7.0,98,92,7.6,High,Yes,Yes,Postgraduate,2.9,10,Low,Excellent
46,1.7,35,32,4.6,Low,Yes,No,Graduate,6.7,1,High,Poor
